"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TC02: Verify withdrawal decreases balance","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Account Service Unit Tests","com.bank.qa.AccountServiceTest","shouldDecreaseBalanceAfterWithdrawal"
"","37","TC03: Verify withdrawal fails when balance is insufficient","","Thu Mar 12 16:09:17 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Account Service Unit Tests","com.bank.qa.AccountServiceTest","shouldThrowExceptionWhenFundsAreInsufficient"
"","1","TC05: Verify deposit fails for zero or negative amounts [1] -1.0","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Account Service Unit Tests","com.bank.qa.AccountServiceTest","shouldThrowExceptionForInvalidDepositedAmount"
"","42","TC04: Verify withdrawal fails for invalid amount [1] -100.0","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Account Service Unit Tests","com.bank.qa.AccountServiceTest","shouldThrowExceptionForInvalidWithdrawAmount"
"","2","TC04: Verify withdrawal fails for invalid amount [2] -1.0","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Account Service Unit Tests","com.bank.qa.AccountServiceTest","shouldThrowExceptionForInvalidWithdrawAmount"
"","2","TC04: Verify withdrawal fails for invalid amount [3] 0.0","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Account Service Unit Tests","com.bank.qa.AccountServiceTest","shouldThrowExceptionForInvalidWithdrawAmount"
"","1","TC03: Should throw exception for invalid amount [2] -1.0","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Payment Service Unit Tests","com.bank.qa.PaymentServiceTest","shouldThrowExceptionForZeroAmount"
"","4","TC03: Should throw exception for invalid amount [1] 0.0","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Payment Service Unit Tests","com.bank.qa.PaymentServiceTest","shouldThrowExceptionForZeroAmount"
"","2","TC01: Should approve payment with limit","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Payment Service Unit Tests","com.bank.qa.PaymentServiceTest","shouldApprovePaymentWithinLimit"
"","1","TC01: Verify deposit increases balance","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Account Service Unit Tests","com.bank.qa.AccountServiceTest","shouldIncreaseBalanceAfterDeposit"
"","1","TC05: Verify deposit fails for zero or negative amounts [2] 0.0","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Account Service Unit Tests","com.bank.qa.AccountServiceTest","shouldThrowExceptionForInvalidDepositedAmount"
"","2","TC02: Should decline payment exceeding limit","","Thu Mar 12 16:09:18 UTC 2026","passed","Thu Mar 12 16:09:18 UTC 2026","","Payment Service Unit Tests","com.bank.qa.PaymentServiceTest","shouldDeclinePaymentOverLimit"
